text,intent
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
How can I schedule a visit?,appointment
Can I meet a doctor tomorrow?,appointment
How can I schedule a visit?,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
How can I schedule a visit?,appointment
How can I schedule a visit?,appointment
How can I schedule a visit?,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
I want to book an appointment with Dr. D101.,appointment
Can I meet a doctor tomorrow?,appointment
Can I meet a doctor tomorrow?,appointment
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
How can I schedule a visit?,appointment
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
I want to book an appointment with Dr. D101.,appointment
I want to book an appointment with Dr. D101.,appointment
How can I schedule a visit?,appointment
Which doctor is handling my case?,doctor_info
Who is my assigned doctor?,doctor_info
Which doctor is handling my case?,doctor_info
Who is my assigned doctor?,doctor_info
Which doctor is handling my case?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Which doctor is handling my case?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Which doctor is handling my case?,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Which doctor is handling my case?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Who is my assigned doctor?,doctor_info
Which doctor is handling my case?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Which doctor is handling my case?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Which doctor is handling my case?,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Who is my assigned doctor?,doctor_info
Tell me more about the fertility specialists.,doctor_info
Tell me more about the fertility specialists.,doctor_info
